PERMNO,date,TICKER,PRC,RETX
10107,2003/09/10,MSFT,27.55000,-0.028904
10107,2003/09/11,MSFT,27.84000,0.010526
10107,2003/09/12,MSFT,28.34000,0.017960
10107,2003/09/15,MSFT,28.36000,0.000706
10107,2003/09/16,MSFT,28.90000,0.019041
10107,2003/09/17,MSFT,28.50000,-0.013841
10107,2003/09/18,MSFT,29.50000,0.035088
10107,2003/09/19,MSFT,29.96000,0.015593
10107,2003/09/22,MSFT,29.07000,-0.029706
10107,2003/09/23,MSFT,29.60000,0.018232
10107,2003/09/24,MSFT,28.46000,-0.038514
10107,2003/09/25,MSFT,28.24000,-0.007730
10107,2003/09/26,MSFT,28.19000,-0.001771
10107,2003/09/29,MSFT,28.83000,0.022703
10107,2003/09/30,MSFT,27.80000,-0.035727
10107,2003/10/01,MSFT,28.52000,0.025899
10107,2003/10/02,MSFT,28.50000,-0.000701
10107,2003/10/03,MSFT,29.08000,0.020351
10107,2003/10/06,MSFT,29.19000,0.003783
10107,2003/10/07,MSFT,29.14000,-0.001713
10107,2003/10/08,MSFT,28.82000,-0.010981
10107,2003/10/09,MSFT,28.94000,0.004164
10107,2003/10/10,MSFT,28.91000,-0.001037
10107,2003/10/13,MSFT,28.78000,-0.004497
10107,2003/10/14,MSFT,28.68000,-0.003475
10107,2003/10/15,MSFT,29.07000,0.013598
10107,2003/10/16,MSFT,29.23000,0.005504
10107,2003/10/17,MSFT,28.93000,-0.010263
10107,2003/10/20,MSFT,29.35000,0.014518
10107,2003/10/21,MSFT,29.35300,0.000102
10107,2003/10/22,MSFT,28.89000,-0.015774
10107,2003/10/23,MSFT,28.91000,0.000692
10107,2003/10/24,MSFT,26.61000,-0.079557
10107,2003/10/27,MSFT,26.91000,0.011274
10107,2003/10/28,MSFT,27.20000,0.010777
10107,2003/10/29,MSFT,26.74000,-0.016912
10107,2003/10/30,MSFT,26.12000,-0.023186
10107,2003/10/31,MSFT,26.14000,0.000766
10107,2003/11/03,MSFT,26.68000,0.020658
10107,2003/11/04,MSFT,26.07000,-0.022864
10107,2003/11/05,MSFT,26.10000,0.001151
10107,2003/11/06,MSFT,26.23000,0.004981
10107,2003/11/07,MSFT,26.10000,-0.004956
10107,2003/11/10,MSFT,26.00100,-0.003793
10107,2003/11/11,MSFT,25.80000,-0.007730
10107,2003/11/12,MSFT,25.98000,0.006977
10107,2003/11/13,MSFT,25.69000,-0.011162
10107,2003/11/14,MSFT,25.50000,-0.007396
10107,2003/11/17,MSFT,25.15000,-0.013726
10107,2003/11/18,MSFT,25.15000,0.000000
10107,2003/11/19,MSFT,25.35000,0.007952
10107,2003/11/20,MSFT,25.10000,-0.009862
10107,2003/11/21,MSFT,25.11000,0.000398
10107,2003/11/24,MSFT,25.73000,0.024691
10107,2003/11/25,MSFT,25.40000,-0.012825
10107,2003/11/26,MSFT,25.45000,0.001969
10107,2003/11/28,MSFT,25.71000,0.010216
10107,2003/12/01,MSFT,25.84000,0.005056
10107,2003/12/02,MSFT,25.66000,-0.006966
10107,2003/12/03,MSFT,25.67000,0.000390
10107,2003/12/04,MSFT,26.20000,0.020647
10107,2003/12/05,MSFT,25.98000,-0.008397
10107,2003/12/08,MSFT,26.24000,0.010008
10107,2003/12/09,MSFT,26.38000,0.005335
10107,2003/12/10,MSFT,26.59000,0.007961
10107,2003/12/11,MSFT,26.61000,0.000752
10107,2003/12/12,MSFT,26.65000,0.001503
10107,2003/12/15,MSFT,26.74000,0.003377
10107,2003/12/16,MSFT,27.06000,0.011967
10107,2003/12/17,MSFT,27.04000,-0.000739
10107,2003/12/18,MSFT,27.40000,0.013314
10107,2003/12/19,MSFT,27.36000,-0.001460
10107,2003/12/22,MSFT,27.18000,-0.006579
10107,2003/12/23,MSFT,27.15000,-0.001104
10107,2003/12/24,MSFT,27.04000,-0.004052
10107,2003/12/26,MSFT,27.21000,0.006287
10107,2003/12/29,MSFT,27.46000,0.009188
10107,2003/12/30,MSFT,27.52000,0.002185
10107,2003/12/31,MSFT,27.37000,-0.005451
10107,2004/01/02,MSFT,27.45000,0.002923
10107,2004/01/05,MSFT,28.14000,0.025137
10107,2004/01/06,MSFT,28.24000,0.003554
10107,2004/01/07,MSFT,28.21000,-0.001062
10107,2004/01/08,MSFT,28.16000,-0.001772
10107,2004/01/09,MSFT,27.66000,-0.017756
10107,2004/01/12,MSFT,27.57000,-0.003254
10107,2004/01/13,MSFT,27.43000,-0.005078
10107,2004/01/14,MSFT,27.70000,0.009843
10107,2004/01/15,MSFT,27.54000,-0.005776
10107,2004/01/16,MSFT,27.81000,0.009804
10107,2004/01/20,MSFT,28.10000,0.010428
10107,2004/01/21,MSFT,28.30000,0.007117
10107,2004/01/22,MSFT,28.01000,-0.010247
10107,2004/01/23,MSFT,28.48000,0.016780
10107,2004/01/26,MSFT,28.80000,0.011236
10107,2004/01/27,MSFT,28.25000,-0.019097
10107,2004/01/28,MSFT,27.71000,-0.019115
10107,2004/01/29,MSFT,27.91000,0.007218
10107,2004/01/30,MSFT,27.65000,-0.009316
10107,2004/02/02,MSFT,27.40000,-0.009042
10107,2004/02/03,MSFT,27.29000,-0.004015
10107,2004/02/04,MSFT,27.01000,-0.010260
10107,2004/02/05,MSFT,26.96000,-0.001851
10107,2004/02/06,MSFT,27.08000,0.004451
10107,2004/02/09,MSFT,26.90000,-0.006647
10107,2004/02/10,MSFT,27.02000,0.004461
10107,2004/02/11,MSFT,27.15000,0.004811
10107,2004/02/12,MSFT,26.95000,-0.007366
10107,2004/02/13,MSFT,26.59000,-0.013358
10107,2004/02/17,MSFT,26.99000,0.015043
10107,2004/02/18,MSFT,26.77000,-0.008151
10107,2004/02/19,MSFT,26.46000,-0.011580
10107,2004/02/20,MSFT,26.57000,0.004157
10107,2004/02/23,MSFT,26.61000,0.001505
10107,2004/02/24,MSFT,26.88000,0.010147
10107,2004/02/25,MSFT,26.70000,-0.006696
10107,2004/02/26,MSFT,26.50000,-0.007491
10107,2004/02/27,MSFT,26.53000,0.001132
10107,2004/03/01,MSFT,26.70000,0.006408
10107,2004/03/02,MSFT,26.39000,-0.011611
10107,2004/03/03,MSFT,26.37000,-0.000758
